title,year,rating
1. The Shawshank Redemption,1994,R
2. The Godfather,1972,R
3. The Dark Knight,2008,PG-13
4. The Godfather Part II,1974,R
5. 12 Angry Men,1957,Approved
6. Schindler's List,1993,R
7. The Lord of the Rings: The Return of the King,2003,PG-13
8. Pulp Fiction,1994,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,PG-13
"10. The Good, the Bad and the Ugly",1966,R
11. Forrest Gump,1994,PG-13
12. The Lord of the Rings: The Two Towers,2002,PG-13
13. Fight Club,1999,R
14. Inception,2010,PG-13
15. Star Wars: Episode V - The Empire Strikes Back,1980,PG
16. The Matrix,1999,R
17. Goodfellas,1990,R
18. One Flew Over the Cuckoo's Nest,1975,R
19. Se7en,1995,R
20. Interstellar,2014,PG-13
21. It's a Wonderful Life,1946,PG
22. Seven Samurai,1954,Not Rated
23. The Silence of the Lambs,1991,R
24. Saving Private Ryan,1998,R
25. City of God,2002,R
